Category ID,Category name,UNIX time,Date (America/Chicago CDT),Text
1,"dataset",1560972876,"Jun 19, 2019 (Wed) 02:34:36 PM","0 0"
1,"dataset",1560972892,"Jun 19, 2019 (Wed) 02:34:52 PM","0 1"
1,"dataset",1560972909,"Jun 19, 2019 (Wed) 02:35:09 PM","0 2"
1,"dataset",1560972932,"Jun 19, 2019 (Wed) 02:35:32 PM","0 3"
1,"dataset",1560972951,"Jun 19, 2019 (Wed) 02:35:51 PM","0 4"
1,"dataset",1560972970,"Jun 19, 2019 (Wed) 02:36:10 PM","0 5"
1,"dataset",1560972996,"Jun 19, 2019 (Wed) 02:36:36 PM","0 6"
1,"dataset",1560973024,"Jun 19, 2019 (Wed) 02:37:04 PM","1 6"
1,"dataset",1560973048,"Jun 19, 2019 (Wed) 02:37:28 PM","2 6"
1,"dataset",1560973076,"Jun 19, 2019 (Wed) 02:37:56 PM","3 6"
1,"dataset",1560973104,"Jun 19, 2019 (Wed) 02:38:24 PM","4 6"
1,"dataset",1560973140,"Jun 19, 2019 (Wed) 02:39:00 PM","-1 6"
1,"dataset",1560973164,"Jun 19, 2019 (Wed) 02:39:24 PM","-2 6"
1,"dataset",1560973192,"Jun 19, 2019 (Wed) 02:39:52 PM","-3 6"
1,"dataset",1560973219,"Jun 19, 2019 (Wed) 02:40:19 PM","-4 6"
1,"dataset",1560973244,"Jun 19, 2019 (Wed) 02:40:44 PM","-5 6"
1,"dataset",1560973274,"Jun 19, 2019 (Wed) 02:41:14 PM","-6 6"
